No,Product_Category,Recommended_Architecture,Stack_Priority,Database_Priority,API_Pattern,Key_Components,Decision_Rules,Anti_Patterns,Severity
23,Property / Real Estate,arch_modular_monolith,Node + Python + Go,PostgreSQL + PostGIS + ElasticSearch + Redis,REST + GraphQL,Listing Management | Geo Search | Calendar Sync | Lead Management,"{""must_have"": ""geo-search"", ""must_have"": ""availability-calendar"", ""if_3d"": ""add-matterport""}",No geo-indexing | Stale listings | Missing inquiry tracking,MEDIUM
24,Food Delivery Platform,arch_event_driven,Go + Node + Python,PostgreSQL + Redis Geo + Kafka,REST + WebSocket + gRPC,Order Orchestration | Driver Matching | Restaurant Integration | ETA,"{""must_have"": ""realtime-tracking"", ""must_have"": ""order-state-machine"", ""if_surge"": ""add-dynamic-pricing""}",No order state machine | Polling for tracking | Missing surge pricing,HIGH
25,Crypto / DeFi Platform,arch_cqrs_es,Rust + Go + Node,PostgreSQL + Event Store + Redis + TimescaleDB,gRPC + WebSocket + REST,Wallet Management | Transaction Processing | Price Feed | Compliance,"{""must_have"": ""cold-hot-wallet"", ""must_have"": ""price-oracle"", ""must_have"": ""kyc-aml""}",Single wallet | No price redundancy | Missing KYC/AML | Weak key management,CRITICAL
26,Insurance Platform,arch_clean_hexagonal,Java + Node + Python,PostgreSQL + ElasticSearch + Redis,REST + GraphQL,Policy Management | Claims Processing | Risk Calculator | Document Management,"{""must_have"": ""document-versioning"", ""must_have"": ""claims-workflow"", ""must_have"": ""regulatory-compliance""}",No audit trail | Missing document history | Weak claims workflow,HIGH
27,Travel / OTA Platform,arch_modular_monolith,Node + Go + Python,PostgreSQL + Redis + ElasticSearch,REST + GraphQL,Inventory Aggregation | Booking Engine | Price Comparison | Itinerary Builder,"{""must_have"": ""inventory-cache"", ""must_have"": ""booking-timeout"", ""if_global"": ""add-currency-conversion""}",Stale inventory | No booking timeout | Missing cancellation flow,HIGH
28,News / Media Platform,arch_serverless,Node + Python + Go,PostgreSQL + ElasticSearch + Redis + CloudFront,REST + GraphQL + RSS,Content CMS | Recommendation Engine | CDN Delivery | Comment System,"{""must_have"": ""cdn-caching"", ""must_have"": ""search-optimization"", ""if_paywall"": ""add-subscription""}",No caching strategy | Poor search | Missing content moderation,MEDIUM
29,Fitness / Wellness App,arch_modular_monolith,Node + TypeScript + Go,PostgreSQL + Redis + TimescaleDB,REST + GraphQL + WebSocket,Workout Tracking | Progress Analytics | Social Features | Wearable Sync,"{""must_have"": ""timeseries-progress"", ""must_have"": ""device-sync"", ""if_live"": ""add-streaming""}",No time-series for metrics | Missing device integration | Poor offline support,MEDIUM
30,Legal / Law Firm System,arch_clean_hexagonal,Node + Python + Java,PostgreSQL + ElasticSearch + S3,REST + GraphQL,Case Management | Document Management | Billing | Calendar,"{""must_have"": ""document-versioning"", ""must_have"": ""audit-trail"", ""must_have"": ""encryption""}",No document history | Missing time tracking | Weak access control,HIGH
31,Restaurant POS System,arch_modular_monolith,Node + TypeScript + Go,PostgreSQL + Redis,REST + WebSocket,Order Management | Inventory | Table Management | Kitchen Display,"{""must_have"": ""offline-mode"", ""must_have"": ""realtime-kitchen"", ""if_multi_location"": ""add-sync""}",No offline support | Synchronous kitchen updates | Poor multi-location sync,HIGH
32,Warehouse Management,arch_event_driven,Go + Node + Python,PostgreSQL + Redis + Kafka,REST + gRPC,Inventory Tracking | Pick-Pack-Ship | Barcode Integration | Location Management,"{""must_have"": ""inventory-accuracy"", ""must_have"": ""barcode-support"", ""if_automated"": ""add-robotics-api""}",No real-time inventory | Missing location tracking | Poor barcode handling,HIGH
33,Appointment Scheduling,arch_modular_monolith,Node + TypeScript,PostgreSQL + Redis,REST + GraphQL,Calendar Engine | Availability Calculator | Reminder System | Timezone Handler,"{""must_have"": ""conflict-detection"", ""must_have"": ""timezone-aware"", ""if_multi_provider"": ""add-routing""}",Double booking | Wrong timezone handling | No reminder system,MEDIUM
34,Auction Platform,arch_event_driven,Go + Node + Elixir,PostgreSQL + Redis + Kafka,WebSocket + REST,Bid Engine | Auction Timer | Snipe Protection | Payment Escrow,"{""must_have"": ""bid-ordering"", ""must_have"": ""atomic-operations"", ""if_high_volume"": ""add-redis-cluster""}",Race condition on bids | No snipe protection | Missing escrow,HIGH
35,Telemedicine Platform,arch_clean_hexagonal,Node + Python + Go,PostgreSQL + Redis + S3,REST + WebSocket + WebRTC,Video Consultation | Prescription | Medical Records | Scheduling,"{""must_have"": ""hipaa-compliance"", ""must_have"": ""e2e-encryption"", ""must_have"": ""recording-consent""}",No encryption | PHI exposure | Missing consent management,CRITICAL
36,Fleet Management,arch_event_driven,Go + Rust + Python,PostgreSQL + TimescaleDB + Redis Geo + Kafka,gRPC + REST + MQTT,Vehicle Tracking | Maintenance Scheduler | Fuel Management | Driver Management,"{""must_have"": ""realtime-gps"", ""must_have"": ""geofencing"", ""if_compliance"": ""add-eld""}",Polling for GPS | No geofencing | Missing maintenance alerts,HIGH
37,Inventory Management,arch_modular_monolith,Node + Go + Python,PostgreSQL + Redis,REST + GraphQL,Stock Tracking | Purchase Orders | Suppliers | Reports,"{""must_have"": ""stock-accuracy"", ""must_have"": ""low-stock-alerts"", ""if_multi_warehouse"": ""add-transfer""}",No real-time stock | Missing reorder points | Poor multi-warehouse support,MEDIUM
38,Email Marketing Platform,arch_serverless,Node + Python + Go,PostgreSQL + Redis + SQS + S3,REST + Webhooks,Campaign Manager | Template Engine | Analytics | Unsubscribe Handler,"{""must_have"": ""bounce-handling"", ""must_have"": ""unsubscribe-compliance"", ""if_high_volume"": ""add-queue""}",No bounce handling | Missing unsubscribe | Synchronous sending,MEDIUM
39,Customer Support / Helpdesk,arch_modular_monolith,Node + TypeScript + Python,PostgreSQL + Redis + ElasticSearch,REST + WebSocket,Ticket System | Knowledge Base | Live Chat | SLA Tracking,"{""must_have"": ""ticket-routing"", ""must_have"": ""sla-tracking"", ""if_ai"": ""add-auto-response""}",No SLA tracking | Poor ticket routing | Missing knowledge base search,MEDIUM
40,Voting / Election System,arch_cqrs_es,Rust + Go + Java,PostgreSQL + Event Store + Redis,REST + gRPC,Ballot Management | Vote Recording | Result Tallying | Audit Trail,"{""must_have"": ""immutable-votes"", ""must_have"": ""audit-complete"", ""must_have"": ""voter-verification""}",Mutable vote records | No audit trail | Weak voter verification,CRITICAL
